id,datetime,minor,size,comment,user,delta
75182906,2024-11-08 19:16:28+00:00,True,44354,jęz.,"{'id': 1223740, 'name': 'Okoń prawdziwy'}",130.0
75182835,2024-11-08 19:07:44+00:00,True,44224,jęz.,"{'id': 1223740, 'name': 'Okoń prawdziwy'}",83.0
74546507,2024-08-15 10:34:43+00:00,True,44141,poprawa linku,"{'id': 31213, 'name': 'Kynikos'}",37.0
74535161,2024-08-13 13:51:26+00:00,True,44104,link,"{'id': 31213, 'name': 'Kynikos'}",10.0
74458938,2024-08-01 00:22:16+00:00,False,44094,W różnych częściach osiedlano wysiedleńców z kresowej części Galicji.,"{'id': 1250464, 'name': 'Brandbandv'}",-187.0
73817838,2024-05-20 16:16:20+00:00,True,44281,,"{'id': 1180391, 'name': 'Onyx736'}",14.0
73673918,2024-05-01 12:11:31+00:00,False,44267,drobne techniczne,"{'id': 467845, 'name': 'Paweł Ziemian'}",-196.0
73580956,2024-04-23 07:27:51+00:00,True,44463,Bot: Dodanie tytułów do linków w przypisach (patrz [[Wikipedysta:MastiBot/refLinks|opis]]),"{'id': 126431, 'name': 'MastiBot'}",427.0
73118965,2024-03-13 17:12:41+00:00,False,44036,Anulowanie wersji [[Special:Diff/73118172|73118172]] autorstwa [[Special:Contributions/Sdbuanet|Sdbuanet]] ([[User talk:Sdbuanet|dyskusja]]) powtórzenie - info jest już w tekscie. uźródłowione,"{'id': 63206, 'name': 'Andros64'}",-838.0
73118172,2024-03-13 15:07:56+00:00,False,44874,"/* II Rzeczpospolita */ lit., aktualizacja, linki zewnętrzne, poprawa linków, [[Pomoc:Słowniczek#W|wikizacja]]","{'id': 227657, 'name': 'Sdbuanet'}",838.0
73117970,2024-03-13 14:31:52+00:00,False,44036,"Wycofano ostatnią zmianę treści (wprowadzoną przez [[Specjalna:Wkład/Sdbuanet|Sdbuanet]]) i przywrócono wersję 72523161 autorstwa W2k2 (Bezźródłowy esej propagandowy, który m.in próbuje odebrać odrębną tożsamość etniczną Łemków)","{'id': 1017413, 'name': 'Szturnek'}",-2507.0
73116935,2024-03-13 12:04:00+00:00,False,46543,"/* II Rzeczpospolita */ sprawdzone, poprawa linków, linki zewnętrzne, aktualizacja","{'id': 227657, 'name': 'Sdbuanet'}",2507.0
72523161,2024-01-16 07:30:17+00:00,False,44036,Wycofano ostatnią zmianę treści (wprowadzoną przez [[Specjalna:Wkład/2A00:F41:899:BDB5:252F:2FE8:AC11:DA33|2A00:F41:899:BDB5:252F:2FE8:AC11:DA33]]) i przywrócono wersję 71938705 autorstwa MalarzBOT,"{'id': 300759, 'name': 'W2k2'}",-46.0
