id,datetime,minor,size,comment,user,delta
75056056,2024-10-26 12:26:38+00:00,False,120110,tech.,"{'id': 1320724, 'name': 'Oeleau'}",-82.0
75055995,2024-10-26 12:20:20+00:00,False,120192,red. we wstępie,"{'id': 1320724, 'name': 'Oeleau'}",-3.0
75045437,2024-10-25 01:57:09+00:00,False,120195,"/* Sposoby mordów */ ok tylko czy to ma być horror czy encyklopedyczne informacje. Wyróżnianie, poprzez celowo wypunktowywanie, sugeruje inny cel, niż merytoryczną informacje","{'id': 219980, 'name': 'Tokyotown8'}",-7942.0
75045150,2024-10-24 23:29:24+00:00,False,128137,/* Początki zbrodni */ drobne techniczne,"{'id': 1232783, 'name': 'Libertyspreader'}",5.0
75045146,2024-10-24 23:27:55+00:00,False,128132,"Opis zbrodni - merytoryczne, redakcyjne, źródła/przypisy,","{'id': 1232783, 'name': 'Libertyspreader'}",7237.0
74679228,2024-09-03 20:00:28+00:00,True,120895,"[[WP:Narzędzia/disFixer|poprawa przek.]], [[WP:SK]], drobne merytoryczne, drobne redakcyjne, drobne techniczne (przypisy)","{'id': 36630, 'name': 'Michał Ski'}",19.0
74611344,2024-08-24 23:12:37+00:00,False,120876,/* Galeria */ drobne redakcyjne,"{'id': 300759, 'name': 'W2k2'}",283.0
74611289,2024-08-24 22:40:56+00:00,True,120593,/* Galeria */ chronologia,"{'id': 300759, 'name': 'W2k2'}",0.0
74611191,2024-08-24 22:10:57+00:00,False,120593,/* Upamiętnienie */ drobne redakcyjne,"{'id': 300759, 'name': 'W2k2'}",626.0
74546484,2024-08-15 10:31:22+00:00,True,119967,poprawa linku,"{'id': 31213, 'name': 'Kynikos'}",40.0
74540202,2024-08-14 09:24:02+00:00,True,119927,dr,"{'id': 19873, 'name': 'Malarz pl'}",-4.0
74535141,2024-08-13 13:46:25+00:00,True,119931,link,"{'id': 31213, 'name': 'Kynikos'}",4.0
74501342,2024-08-07 17:18:43+00:00,False,119927,int.,"{'id': 1318523, 'name': 'MarcinWie123'}",3.0
74501334,2024-08-07 17:17:40+00:00,False,119924,mapa,"{'id': 1318523, 'name': 'MarcinWie123'}",55.0
74501320,2024-08-07 17:16:21+00:00,False,119869,"dla zbrodni popełnionych w Polsce pod okupacją nie używamy flagi, gdyż była wtedy zakazana","{'id': 1318523, 'name': 'MarcinWie123'}",8.0
74466301,2024-08-02 09:26:11+00:00,False,119861,"Anulowanie wersji [[Special:Diff/74465393|74465393]] autorstwa [[Special:Contributions/Malarz pl|Malarz pl]] ([[User talk:Malarz pl|dyskusja]]) nigdy nie bylo państwa ""Komisariat Rzeszy Ukraina"" podobnie jak nie było państwa ""Generalne Gubernatorstwo"". Było to terytorium II RP pod okupacją wojenną. Sowiecką -niemiecką-sowiecką.Do 16.08 1945","{'id': 63206, 'name': 'Andros64'}",142.0
74465393,2024-08-02 06:24:17+00:00,True,119719,błędy techniczne,"{'id': 19873, 'name': 'Malarz pl'}",-142.0
